old_id,occ_id,l1_num,l2_num,l3_num,src_l1,occupation,name,file
N9005016,OCC-02-00001,02,0208,020869,B,矿井通风工程师,曾康,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020869-矿井通风工程师/CN-SW-西南/16-24/N9005016-曾康.md
N9004841,OCC-02-00001,02,0208,020827,B,矿井通风工程师,萧栋燊,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020827-矿井通风工程师/CN-E-华东/35-44/N9004841-萧栋燊.md
N9005044,OCC-02-00002,02,0208,020827,B,矿冶安全评价师,崔虎燊,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020827-矿冶安全评价师/CN-E-华东/25-34/N9005044-崔虎燊.md
N9005025,OCC-02-00001,02,0208,020890,B,矿井通风工程师,赵腾,docs/财商流游戏/玩家职业设计/02-采矿与冶金/02-08-矿冶工程与安全/020890-矿井通风工程师/CN-E-华东/25-34/N9005025-赵腾.md
N2311,OCC-02-00001,02,0208,020804,K,虚拟电厂交易运营专员,须聚盈,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-N-华北/25-34/N2311-须聚盈.md
N2312,OCC-02-00002,02,0208,020804,K,虚拟电厂调度工程师,须调衡,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-E-华东/25-34/N2312-须调衡.md
N2313,OCC-02-00003,02,0208,020804,K,新能源电力交易员,荀交朔,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-S-华南/25-34/N2313-荀交朔.md
N2314,OCC-02-00004,02,0208,020804,K,电力现货交易员,荀现朔,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-E-华东/25-34/N2314-荀现朔.md
N2315,OCC-02-00005,02,0208,020804,K,需求响应管理师,胥响岚,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-SW-西南/35-44/N2315-胥响岚.md
N2316,OCC-02-00006,02,0208,020804,K,聚合商平台运营经理,鞠禾铭,docs/财商流游戏/玩家职业设计/02-能源与电力/02-08-能源交易与调度/020804-电力交易与虚拟电厂/CN-E-华东/35-44/N2316-鞠禾铭.md
